date,cape_max,freezing_min,hail_environment,hail_actual,precipitation_mm
1950-08-24,487.0,4892.0,False,False,0.0
1950-08-25,382.0,4982.0,False,False,0.0
1950-08-26,475.0,4596.0,False,False,0.0
1950-08-27,1155.0,4890.0,False,False,1.9
1950-08-28,1194.0,5008.0,False,False,1.8
1950-08-29,1200.0,4802.0,False,False,4.3
1950-08-30,271.0,4889.0,False,False,0.0
1950-08-31,2523.0,4619.0,False,False,53.0
1950-09-01,2226.0,4754.0,False,False,1.5
1950-09-02,512.0,4627.0,False,False,0.0
1950-09-03,1891.0,4591.0,False,False,54.2
1950-09-04,1026.0,4838.0,False,False,4.6
1950-09-05,1984.0,4797.0,False,False,9.0
1950-09-06,565.0,5074.0,False,False,0.4
1950-09-07,1369.0,4690.0,False,False,2.5
1950-09-08,0.0,4608.0,False,False,0.0
1950-09-09,279.0,4650.0,False,False,0.0
1950-09-10,364.0,5042.0,False,False,0.0
1950-09-11,314.0,4849.0,False,False,0.4
1950-09-12,635.0,4531.0,False,False,0.0
1950-09-13,2224.0,4653.0,False,False,8.9
1950-09-14,896.0,4654.0,False,False,25.3
1950-09-15,531.0,5148.0,False,False,0.0
1950-09-16,697.0,4604.0,False,False,0.0
1950-09-17,1650.0,4572.0,False,False,10.5
1950-09-18,672.0,4731.0,False,False,0.0
1950-09-19,993.0,5056.0,False,False,13.2
1950-09-20,1915.0,4673.0,False,False,3.4
1950-09-21,0.0,4840.0,False,False,12.1
1950-09-22,212.0,4481.0,False,False,20.6
1950-09-23,391.0,4613.0,False,False,0.7
1950-09-24,671.0,4736.0,False,False,0.0
1950-09-25,787.0,4763.0,False,False,5.7
1950-09-26,1174.0,4999.0,False,False,3.6
1950-09-27,2179.0,4697.0,False,False,14.5
1950-09-28,2649.0,4556.0,False,False,21.0
1950-09-29,1126.0,5096.0,False,False,1.5
1950-09-30,449.0,5110.0,False,False,0.0
1950-10-01,537.0,4605.0,False,False,0.0
1950-10-02,3575.0,5059.0,False,False,57.6
1950-10-03,2573.0,4539.0,True,True,37.5
1950-10-04,4134.0,4658.0,True,False,33.7
1950-10-05,1069.0,4735.0,False,False,3.2
1950-10-06,714.0,5040.0,False,False,0.0
1950-10-07,1978.0,4763.0,False,False,10.2
1950-10-08,420.0,4623.0,False,False,0.0
1950-10-09,1015.0,4547.0,False,False,39.8
1950-10-10,210.0,4775.0,False,False,0.9
1950-10-11,663.0,4422.0,False,False,6.7
1950-10-12,916.0,4554.0,False,False,5.7
1950-10-13,1518.0,4853.0,False,False,1.7
1950-10-14,1532.0,4678.0,False,False,5.0
1950-10-15,1917.0,4568.0,False,False,6.2
1950-10-16,397.0,4637.0,False,False,0.0
1950-10-17,670.0,4895.0,False,False,18.8
1950-10-18,822.0,4571.0,False,False,0.0
1950-10-19,951.0,4812.0,False,False,7.7
1950-10-20,1181.0,4446.0,False,False,1.6
1950-10-21,4420.0,4604.0,True,False,65.3
1950-10-22,1473.0,4384.0,False,False,17.6
1950-10-23,360.0,4377.0,False,False,0.7
1950-10-24,584.0,4561.0,False,False,11.0
1950-10-25,2561.0,4852.0,False,False,15.2
1950-10-26,3144.0,4786.0,False,False,8.9
1950-10-27,605.0,4658.0,False,False,0.0
1950-10-28,1942.0,4411.0,False,False,4.2
1950-10-29,1312.0,4770.0,False,False,17.3
1950-10-30,134.0,4661.0,False,False,0.1
1950-10-31,996.0,4996.0,False,False,11.6
1950-11-01,160.0,4465.0,False,False,1.2
1950-11-02,679.0,4358.0,False,False,0.0
1950-11-03,315.0,4675.0,False,False,0.0
1950-11-04,1597.0,4749.0,False,False,8.3
1950-11-05,2531.0,4506.0,False,False,6.8
1950-11-06,0.0,4804.0,False,False,0.0
1950-11-07,612.0,4623.0,False,False,0.8
1950-11-08,623.0,4827.0,False,False,5.0
1950-11-09,6.0,4591.0,False,False,0.0
1950-11-10,3209.0,4101.0,False,False,17.8
1950-11-11,970.0,4622.0,False,False,6.9
1950-11-12,3202.0,4632.0,False,False,65.8
1950-11-13,813.0,4782.0,False,False,5.4
1950-11-14,2412.0,4682.0,False,False,2.6
1950-11-15,1419.0,4574.0,False,False,13.1
1950-11-16,2058.0,4636.0,False,False,8.6
1950-11-17,540.0,4731.0,False,False,0.0
1950-11-18,504.0,4771.0,False,False,0.0
1950-11-19,647.0,4351.0,False,False,13.4
1950-11-20,2356.0,4643.0,False,False,17.3
1950-11-21,418.0,4886.0,False,False,0.0
1950-11-22,462.0,4692.0,False,False,0.0
1950-11-23,2236.0,4731.0,False,False,8.9
1950-11-24,755.0,4560.0,False,False,6.1
1950-11-25,770.0,4311.0,False,False,0.0
1950-11-26,551.0,4818.0,False,False,2.7
1950-11-27,686.0,4717.0,False,False,0.7
1950-11-28,1586.0,4663.0,False,False,5.7
1950-11-29,4285.0,4623.0,False,False,40.0
1950-11-30,85.0,4800.0,False,False,0.0
1950-12-01,445.0,4778.0,False,False,2.0
1950-12-02,1257.0,4616.0,False,False,1.4
1950-12-03,318.0,4869.0,False,False,0.0
1950-12-04,478.0,4663.0,False,False,0.0
1950-12-05,491.0,4684.0,False,False,0.0
1950-12-06,185.0,5095.0,False,False,0.0
1950-12-07,1734.0,4594.0,False,False,14.0
1950-12-08,166.0,4551.0,False,False,0.0
1950-12-09,1000.0,4636.0,False,False,3.3
1950-12-10,1287.0,4984.0,False,False,6.1
1950-12-11,337.0,4642.0,False,False,0.0
1950-12-12,1246.0,4891.0,False,False,3.1
1950-12-13,195.0,4712.0,False,False,0.2
1950-12-14,0.0,5021.0,False,False,6.3
1950-12-15,321.0,5047.0,False,False,0.0
1950-12-16,647.0,4727.0,False,False,0.0
1950-12-17,269.0,4856.0,False,False,0.0
1950-12-18,41.0,5054.0,False,False,0.0
1950-12-19,236.0,4734.0,False,False,0.0
1950-12-20,557.0,5093.0,False,False,0.0
1950-12-21,1467.0,4478.0,False,False,1.8
1950-12-22,279.0,4701.0,False,False,0.0
1950-12-23,1198.0,5187.0,False,False,7.2
1950-12-24,259.0,4841.0,False,False,6.6
1950-12-25,1209.0,4975.0,False,False,8.9
1950-12-26,269.0,4944.0,False,False,0.0
1950-12-27,259.0,4668.0,False,False,0.0
1950-12-28,459.0,4711.0,False,False,0.0
1950-12-29,362.0,4871.0,False,False,1.1
1950-12-30,284.0,4756.0,False,False,0.0
1950-12-31,85.0,4966.0,False,False,0.0
1951-01-01,263.0,4579.0,False,False,0.0
1951-01-02,2.0,4990.0,False,False,0.0
1951-01-03,536.0,5047.0,False,False,0.0
1951-01-04,240.0,4695.0,False,False,0.0
1951-01-05,158.0,4792.0,False,False,0.0
1951-01-06,308.0,4628.0,False,False,0.0
1951-01-07,182.0,4943.0,False,False,0.0
1951-01-08,250.0,4208.0,False,False,0.0
1951-01-09,190.0,4848.0,False,False,0.3
1951-01-10,140.0,4725.0,False,False,0.0
1951-01-11,384.0,5227.0,False,False,0.0
1951-01-12,101.0,4979.0,False,False,0.0
1951-01-13,1307.0,4458.0,False,False,24.7
1951-01-14,796.0,4886.0,False,False,1.3
1951-01-15,0.0,5128.0,False,False,0.0
1951-01-16,1283.0,4878.0,False,False,13.8
1951-01-17,1453.0,4976.0,False,False,4.4
1951-01-18,241.0,4759.0,False,False,0.0
1951-01-19,283.0,4666.0,False,False,0.0
1951-01-20,1768.0,4654.0,False,False,6.0
1951-01-21,1301.0,4638.0,False,False,4.1
1951-01-22,55.0,4892.0,False,False,0.0
1951-01-23,243.0,4880.0,False,False,0.0
1951-01-24,756.0,4988.0,False,False,11.7
1951-01-25,316.0,4616.0,False,False,0.9
1951-01-26,409.0,4929.0,False,False,0.0
1951-01-27,743.0,4808.0,False,False,1.6
1951-01-28,0.0,4557.0,False,False,23.4
1951-01-29,1480.0,5282.0,False,False,7.0
1951-01-30,1324.0,4639.0,False,False,9.1
1951-01-31,553.0,4887.0,False,False,0.0
1951-02-01,450.0,5049.0,False,False,0.0
1951-02-02,289.0,5212.0,False,False,0.0
1951-02-03,1569.0,4550.0,False,False,9.7
1951-02-04,3049.0,4468.0,True,True,36.2
1951-02-05,355.0,4713.0,False,False,0.0
1951-02-06,303.0,4778.0,False,False,0.0
1951-02-07,243.0,4757.0,False,False,0.0
1951-02-08,167.0,4486.0,False,False,0.0
1951-02-09,431.0,4704.0,False,False,9.5
1951-02-10,815.0,4666.0,False,False,4.0
1951-02-11,1286.0,5027.0,False,False,10.9
1951-02-12,1088.0,4795.0,False,False,2.9
1951-02-13,0.0,4651.0,False,False,0.4
1951-02-14,469.0,4804.0,False,False,0.0
1951-02-15,673.0,4920.0,False,False,0.0
1951-02-16,273.0,4900.0,False,False,0.0
1951-02-17,43.0,4765.0,False,False,0.0
1951-02-18,1477.0,4746.0,False,False,15.4
1951-02-19,1399.0,5176.0,False,False,9.4
1951-02-20,132.0,4686.0,False,False,0.6
1951-02-21,1210.0,4860.0,False,False,8.0
1951-02-22,565.0,4614.0,False,False,0.0
1951-02-23,273.0,4659.0,False,False,0.0
1951-02-24,136.0,4996.0,False,False,1.5
1951-02-25,1054.0,4632.0,False,False,59.3
1951-02-26,902.0,4752.0,False,False,7.2
1951-02-27,0.0,4768.0,False,False,7.8
1951-02-28,270.0,4793.0,False,False,0.0
1951-03-01,706.0,4930.0,False,False,0.0
1951-03-02,643.0,5050.0,False,False,1.2
1951-03-03,567.0,4457.0,False,False,0.0
1951-03-04,1388.0,4466.0,False,False,2.6
1951-03-05,1118.0,4822.0,False,False,14.5
1951-03-06,599.0,4965.0,False,False,0.0
1951-03-07,446.0,4617.0,False,False,0.1
1951-03-08,446.0,4880.0,False,False,0.0
1951-03-09,495.0,4456.0,False,False,0.0
1951-03-10,331.0,4822.0,False,False,0.0
1951-03-11,783.0,4708.0,False,False,3.1
1951-03-12,1033.0,4872.0,False,False,19.0
1951-03-13,1528.0,4714.0,False,False,3.2
1951-03-14,490.0,4862.0,False,False,0.0
1951-03-15,1436.0,4834.0,False,False,7.8
1951-03-16,979.0,4912.0,False,False,3.8
1951-03-17,651.0,4874.0,False,False,1.5
1951-03-18,579.0,4571.0,False,False,0.0
1951-03-19,110.0,5012.0,False,False,0.0
1951-03-20,1104.0,4796.0,False,False,0.0
1951-03-21,488.0,5045.0,False,False,0.0
1951-03-22,1360.0,4750.0,False,False,6.5
1951-03-23,210.0,4481.0,False,False,0.0
1951-03-24,563.0,4742.0,False,False,0.0
1951-03-25,338.0,4983.0,False,False,0.0
1951-03-26,231.0,4849.0,False,False,0.0
1951-03-27,850.0,4831.0,False,False,2.4
1951-03-28,300.0,4804.0,False,False,0.0
1951-03-29,325.0,4721.0,False,False,0.0
1951-03-30,2414.0,4887.0,False,False,1.3
1951-03-31,791.0,4767.0,False,False,5.9
1951-04-01,2982.0,4685.0,False,False,14.5
1951-04-02,304.0,4696.0,False,False,0.0
1951-04-03,299.0,4576.0,False,False,0.0
1951-04-04,665.0,4900.0,False,False,0.0
1951-04-05,733.0,4529.0,False,False,8.0
1951-04-06,1325.0,4790.0,False,False,6.0
1951-04-07,2444.0,4584.0,False,False,11.2
1951-04-08,958.0,4899.0,False,False,8.0
1951-04-09,0.0,4601.0,False,False,4.4
1951-04-10,2235.0,4409.0,False,False,11.5
1951-04-11,1769.0,4612.0,False,False,12.3
1951-04-12,2957.0,4316.0,False,False,26.5
1951-04-13,1531.0,5193.0,False,False,3.1
1951-04-14,1145.0,4824.0,False,False,1.8
1951-04-15,4936.0,4445.0,False,False,49.3
1951-04-16,304.0,4749.0,False,False,0.0
1951-04-17,903.0,4892.0,False,False,0.0
1951-04-18,2375.0,4687.0,False,False,1.3
1951-04-19,1474.0,4648.0,False,False,2.0
1951-04-20,0.0,4802.0,False,False,7.8
1951-04-21,3156.0,4465.0,False,False,3.8
1951-04-22,2194.0,4630.0,False,False,4.3
1951-04-23,1074.0,4614.0,False,False,0.0
1951-04-24,736.0,4481.0,False,False,0.0
1951-04-25,276.0,4637.0,False,False,0.0
1951-04-26,153.0,4826.0,False,False,0.0
1951-04-27,1025.0,4912.0,False,False,2.1
1951-04-28,526.0,4622.0,False,False,0.0
1951-04-29,0.0,4180.0,False,False,7.9
1951-04-30,489.0,5004.0,False,False,0.0
1951-05-01,987.0,4872.0,False,False,13.2
1951-05-02,1853.0,4730.0,False,False,36.3
1951-05-03,663.0,4698.0,False,False,0.1
1951-05-04,1891.0,4835.0,True,False,17.3
1951-05-05,451.0,4819.0,False,False,0.1
1951-05-06,1774.0,4516.0,False,False,1.6
1951-05-07,874.0,5192.0,False,False,4.1
1951-05-08,348.0,4663.0,False,False,0.0
1951-05-09,1670.0,4728.0,False,False,3.3
1951-05-10,586.0,4422.0,False,False,3.6
1951-05-11,2384.0,4775.0,True,True,77.1
1951-05-12,879.0,4926.0,False,False,0.0
1951-05-13,3160.0,4615.0,False,False,33.8
1951-05-14,597.0,4980.0,False,False,0.2
1951-05-15,1233.0,5048.0,False,False,18.5
1951-05-16,2844.0,4919.0,False,False,4.2
1951-05-17,1206.0,4625.0,False,False,1.8
1951-05-18,1737.0,4794.0,True,False,20.4
1951-05-19,1219.0,4308.0,False,False,29.8
1951-05-20,2578.0,4732.0,False,False,41.4
1951-05-21,1598.0,4704.0,False,False,4.3
1951-05-22,1566.0,4838.0,False,False,10.2
1951-05-23,269.0,4747.0,False,False,0.0
1951-05-24,583.0,4984.0,False,False,34.1
1951-05-25,165.0,4974.0,False,False,22.7
